question_id	question_rank	document_title	paragraph_index
1	1	Sahara	8
1	2	Houston	30
1	3	Mandolin	15
1	4	Association_football	21
1	5	Liberal_Party_of_Australia	11
4	1	BeiDou_Navigation_Satellite_System	18
4	2	BeiDou_Navigation_Satellite_System	13
4	3	BeiDou_Navigation_Satellite_System	5
4	4	BeiDou_Navigation_Satellite_System	14
4	5	BeiDou_Navigation_Satellite_System	7
7	1	Beyoncé	16
7	2	Beyoncé	54
7	3	Nintendo_Entertainment_System	37
7	4	The_Legend_of_Zelda:_Twilight_Princess	29
7	5	The_Times	16
10	1	Roman_Republic	45
10	2	Roman_Republic	43
10	3	Roman_Republic	48
10	4	Roman_Republic	27
10	5	Roman_Republic	47
13	1	Virgil	2
13	2	Southeast_Asia	9
13	3	Chihuahua_(state)	62
13	4	Mali	10
13	5	American_Idol	98
16	1	Oklahoma_City	11
16	2	Atlantic_City,_New_Jersey	24
16	3	Richmond,_Virginia	55
16	4	Pesticide	6
16	5	Detroit	1
19	1	Xbox_360	13
19	2	Xbox_360	14
19	3	Xbox_360	25
19	4	Xbox_360	5
19	5	Xbox_360	4
22	1	Montana	33
22	2	Neptune	28
22	3	Philadelphia	22
22	4	Paris	22
22	5	Norfolk_Island	14
25	1	Royal_Dutch_Shell	17
25	2	Royal_Dutch_Shell	19
25	3	Institute_of_technology	15
25	4	Chinese_characters	24
25	5	Hunting	33
28	1	New_Delhi	50
28	2	New_Delhi	30
28	3	New_Delhi	49
28	4	New_Delhi	20
28	5	Houston	31
31	1	Textual_criticism	23
31	2	Thuringia	3
31	3	Infection	28
31	4	Architecture	5
31	5	Greeks	3
34	1	New_York_City	147
34	2	New_York_City	55
34	3	New_York_City	0
34	4	Genocide	23
34	5	Infrared	2
37	1	Federal_Bureau_of_Investigation	26
37	2	Federal_Bureau_of_Investigation	41
37	3	Federal_Bureau_of_Investigation	17
37	4	Jehovah%27s_Witnesses	29
37	5	Gene	18
40	1	The_Blitz	85
40	2	Chihuahua_(state)	31
40	3	Mary_(mother_of_Jesus)	36
40	4	The_Blitz	86
40	5	Chihuahua_(state)	44
43	1	Bill_%26_Melinda_Gates_Foundation	15
43	2	University	24
43	3	Space_Race	50
43	4	FA_Cup	18
43	5	Arena_Football_League	17
46	1	Richard_Feynman	1
46	2	Richard_Feynman	21
46	3	Philadelphia	3
46	4	Pope_Paul_VI	9
46	5	Pope_Paul_VI	13
49	1	Charleston,_South_Carolina	6
49	2	Pub	51
49	3	Treaty	30
49	4	Charleston,_South_Carolina	32
49	5	Charleston,_South_Carolina	38
52	1	BeiDou_Navigation_Satellite_System	12
52	2	BeiDou_Navigation_Satellite_System	7
52	3	BeiDou_Navigation_Satellite_System	2
52	4	BeiDou_Navigation_Satellite_System	1
52	5	BeiDou_Navigation_Satellite_System	29
55	1	Queen_Victoria	40
55	2	Sony_Music_Entertainment	17
55	3	The_Times	51
55	4	Sony_Music_Entertainment	24
55	5	Queen_Victoria	5
58	1	BeiDou_Navigation_Satellite_System	10
58	2	Gene	35
58	3	Comics	33
58	4	Saint_Helena	70
58	5	Animal	5
61	1	Gramophone_record	28
61	2	Gramophone_record	19
61	3	Gramophone_record	31
61	4	Gramophone_record	29
61	5	Gramophone_record	27
64	1	Tajikistan	13
64	2	Russian_Soviet_Federative_Socialist_Republic	25
64	3	Russian_Soviet_Federative_Socialist_Republic	20
64	4	Russian_Soviet_Federative_Socialist_Republic	16
64	5	Russian_Soviet_Federative_Socialist_Republic	18
67	1	Alexander_Graham_Bell	41
67	2	United_States_Air_Force	1
67	3	Tuvalu	13
67	4	St._John%27s,_Newfoundland_and_Labrador	23
67	5	Military_history_of_the_United_States	19
70	1	Iranian_languages	15
70	2	Wood	48
70	3	Iranian_languages	2
70	4	Iranian_languages	0
70	5	Kathmandu	21
73	1	Sony_Music_Entertainment	24
73	2	The_Blitz	70
73	3	Red	2
73	4	The_Blitz	17
73	5	Separation_of_church_and_state_in_the_United_States	28
76	1	Miami	41
76	2	Professional_wrestling	14
76	3	Protestantism	7
76	4	St._John%27s,_Newfoundland_and_Labrador	22
76	5	Institute_of_technology	15
79	1	Education	31
79	2	Printed_circuit_board	13
79	3	British_Empire	55
79	4	American_Idol	51
79	5	Catalan_language	37
82	1	Canadian_Armed_Forces	41
82	2	Portugal	19
82	3	Airport	1
82	4	Ann_Arbor,_Michigan	22
82	5	Frédéric_Chopin	75
85	1	Dutch_language	8
85	2	Montevideo	49
85	3	Dutch_language	9
85	4	Lighting	46
85	5	God	3
88	1	Affirmative_action_in_the_United_States	25
88	2	History_of_science	25
88	3	Muslim_world	14
88	4	Jehovah%27s_Witnesses	35
88	5	Financial_crisis_of_2007%E2%80%9308	10
91	1	Utrecht	16
91	2	Utrecht	8
91	3	Israel	65
91	4	Utrecht	2
91	5	Utrecht	10
94	1	Norfolk_Island	15
94	2	Catalan_language	3
94	3	Sumer	16
94	4	Glacier	9
94	5	Greece	58
97	1	Diarrhea	13
97	2	Diarrhea	14
97	3	Buddhism	7
97	4	USB	62
97	5	Immunology	15
100	1	Imperial_College_London	17
100	2	Christian	15
100	3	New_Haven,_Connecticut	30
100	4	Sino-Tibetan_relations_during_the_Ming_dynasty	8
100	5	Plymouth	20
103	1	Oklahoma_City	75
103	2	North_Carolina	54
103	3	John_Kerry	0
103	4	Treaty	50
103	5	Portugal	9
